,Time,Acc_x,Acc_y,Acc_z
0,1603920561484,0,0,0
1,1603920561534,0,0,0
2,1603920561584,0,0,0
3,1603920561634,-593,-372,736
4,1603920561684,-509,-386,770
5,1603920561734,-581,-371,745
6,1603920561784,-531,-387,746
7,1603920561834,-510,-381,780
8,1603920561884,-556,-365,758
9,1603920561934,-646,-359,742
10,1603920561984,-569,-395,737
11,1603920562034,-541,-344,744
12,1603920562084,-524,-392,767
13,1603920562134,-488,-483,701
14,1603920562184,-532,-316,801
15,1603920562234,-568,-366,833
16,1603920562284,-481,-391,789
17,1603920562334,-507,-348,770
18,1603920562384,-526,-352,773
19,1603920562434,-494,-391,777
20,1603920562484,-580,-366,770
21,1603920562534,-556,-351,810
22,1603920562584,-478,-446,791
23,1603920562634,-500,-410,772
24,1603920562684,-543,-368,777
25,1603920562734,-507,-373,784
26,1603920562784,-523,-441,783
27,1603920562834,-463,-417,772
28,1603920562884,-489,-411,789
29,1603920562934,-492,-405,782
30,1603920562984,-499,-427,814
31,1603920563034,-541,-401,764
32,1603920563084,-272,-338,817
33,1603920563134,-501,-472,754
34,1603920563184,-506,-452,758
35,1603920563234,-492,-454,781
36,1603920563284,-575,-383,789
37,1603920563334,-552,-423,798
38,1603920563384,-396,-416,777
39,1603920563434,-508,-372,787
40,1603920563484,-499,-416,771
41,1603920563534,-490,-429,778
42,1603920563584,-416,-424,750
43,1603920563634,-499,-394,775
44,1603920563684,-599,-440,825
45,1603920563734,-497,-415,792
46,1603920563784,-469,-437,795
47,1603920563834,-426,-385,788
48,1603920563884,-470,-369,786
49,1603920563934,-516,-402,793
50,1603920563984,-378,-441,746
51,1603920564034,-406,-485,781
52,1603920564084,-364,-367,775
53,1603920564134,-463,-430,792
54,1603920564184,-480,-434,779
55,1603920564234,-443,-409,785
56,1603920564284,-471,-407,810
57,1603920564334,-508,-396,796
58,1603920564384,-503,-413,797
59,1603920564434,-407,-427,781
60,1603920564484,-480,-424,771
61,1603920564534,-544,-319,717
62,1603920564584,-246,-512,914
63,1603920564634,-456,-488,755
64,1603920564684,-522,-340,779
65,1603920564734,-563,-428,773
66,1603920564784,-497,-395,774
67,1603920564834,-462,-442,783
68,1603920564884,-425,-408,777
69,1603920564934,-538,-417,827
70,1603920564984,-264,-36,729
71,1603920565034,-365,-535,761
72,1603920565084,-529,-382,798
73,1603920565134,-477,-391,801
74,1603920565184,-477,-339,804
75,1603920565234,-504,-328,793
76,1603920565284,-520,-366,809
77,1603920565334,-441,-360,833
78,1603920565384,-540,-398,807
79,1603920565434,-505,-384,807
80,1603920565484,-510,-363,797
81,1603920565534,-506,-370,801
82,1603920565584,-501,-336,795
83,1603920565634,-504,-339,807
84,1603920565684,-510,-319,799
85,1603920565734,-526,-324,812
86,1603920565784,-505,-363,812
87,1603920565834,-513,-373,799
88,1603920565884,-528,-328,809
89,1603920565934,-510,-317,817
90,1603920565984,-496,-364,823
91,1603920566034,-468,-205,732
92,1603920566084,-872,-73,886
93,1603920566134,748,-650,882
94,1603920566184,-911,-245,-4
95,1603920566234,-436,-306,679
96,1603920566284,-528,-425,797
97,1603920566334,-535,-363,787
98,1603920566384,-565,-403,809
99,1603920566434,-469,-377,770
100,1603920566484,-451,-413,752
101,1603920566534,-565,-357,817
102,1603920566584,-519,-405,787
103,1603920566634,-541,-377,803
104,1603920566684,-506,-380,788
105,1603920566734,-491,-392,784
106,1603920566784,-516,-413,768
107,1603920566834,-525,-395,774
108,1603920566884,-526,-403,780
109,1603920566934,-505,-399,775
110,1603920566984,-512,-403,769
111,1603920567034,-498,-405,777
112,1603920567084,-505,-413,782
113,1603920567134,-537,-369,783
114,1603920567184,-516,-393,775
115,1603920567234,-471,-426,775
116,1603920567284,-476,-416,770
117,1603920567334,-471,-407,783
118,1603920567384,-470,-401,785
119,1603920567434,-502,-409,817
120,1603920567484,-503,-414,813
