,Time,Acc_x,Acc_y,Acc_z
0,1603922280045,0,0,0
1,1603922280095,0,0,0
2,1603922280145,0,0,0
3,1603922280195,-593,-372,736
4,1603922280245,-509,-386,770
5,1603922280295,-581,-371,745
6,1603922280345,-531,-387,746
7,1603922280395,-510,-381,780
8,1603922280445,-556,-365,758
9,1603922280495,-646,-359,742
10,1603922280545,-569,-395,737
11,1603922280595,-541,-344,744
12,1603922280645,-524,-392,767
13,1603922280695,-488,-483,701
14,1603922280745,-532,-316,801
15,1603922280795,-568,-366,833
16,1603922280845,-481,-391,789
17,1603922280895,-507,-348,770
18,1603922280945,-526,-352,773
19,1603922280995,-494,-391,777
20,1603922281045,-580,-366,770
21,1603922281095,-556,-351,810
22,1603922281145,-478,-446,791
23,1603922281195,-500,-410,772
24,1603922281245,-543,-368,777
25,1603922281295,-507,-373,784
26,1603922281345,-523,-441,783
27,1603922281395,-463,-417,772
28,1603922281445,-489,-411,789
29,1603922281495,-492,-405,782
30,1603922281545,-499,-427,814
31,1603922281595,-541,-401,764
32,1603922281645,-272,-338,817
33,1603922281695,-501,-472,754
34,1603922281745,-506,-452,758
35,1603922281795,-492,-454,781
36,1603922281845,-575,-383,789
37,1603922281895,-552,-423,798
38,1603922281945,-396,-416,777
39,1603922281995,-508,-372,787
40,1603922282045,-499,-416,771
41,1603922282095,-490,-429,778
42,1603922282145,-416,-424,750
43,1603922282195,-499,-394,775
44,1603922282245,-599,-440,825
45,1603922282295,-497,-415,792
46,1603922282345,-469,-437,795
47,1603922282395,-426,-385,788
48,1603922282445,-470,-369,786
49,1603922282495,-516,-402,793
50,1603922282545,-378,-441,746
51,1603922282595,-406,-485,781
52,1603922282645,-364,-367,775
53,1603922282695,-463,-430,792
54,1603922282745,-480,-434,779
55,1603922282795,-443,-409,785
56,1603922282845,-471,-407,810
57,1603922282895,-508,-396,796
58,1603922282945,-503,-413,797
59,1603922282995,-407,-427,781
60,1603922283045,-480,-424,771
61,1603922283095,-544,-319,717
62,1603922283145,-246,-512,914
63,1603922283195,-456,-488,755
64,1603922283245,-522,-340,779
65,1603922283295,-563,-428,773
66,1603922283345,-497,-395,774
67,1603922283395,-462,-442,783
68,1603922283445,-425,-408,777
69,1603922283495,-538,-417,827
70,1603922283545,-264,-36,729
71,1603922283595,-365,-535,761
72,1603922283645,-529,-382,798
73,1603922283695,-477,-391,801
74,1603922283745,-477,-339,804
75,1603922283795,-504,-328,793
76,1603922283845,-520,-366,809
77,1603922283895,-441,-360,833
78,1603922283945,-540,-398,807
79,1603922283995,-505,-384,807
80,1603922284045,-510,-363,797
81,1603922284095,-506,-370,801
82,1603922284145,-501,-336,795
83,1603922284195,-504,-339,807
84,1603922284245,-510,-319,799
85,1603922284295,-526,-324,812
86,1603922284345,-505,-363,812
87,1603922284395,-513,-373,799
88,1603922284445,-528,-328,809
89,1603922284495,-510,-317,817
90,1603922284545,-496,-364,823
91,1603922284595,-468,-205,732
92,1603922284645,-872,-73,886
93,1603922284695,748,-650,882
94,1603922284745,-911,-245,-4
95,1603922284795,-436,-306,679
96,1603922284845,-528,-425,797
97,1603922284895,-535,-363,787
98,1603922284945,-565,-403,809
99,1603922284995,-469,-377,770
100,1603922285045,-451,-413,752
101,1603922285095,-565,-357,817
102,1603922285145,-519,-405,787
103,1603922285195,-541,-377,803
104,1603922285245,-506,-380,788
105,1603922285295,-491,-392,784
106,1603922285345,-516,-413,768
107,1603922285395,-525,-395,774
108,1603922285445,-526,-403,780
109,1603922285495,-505,-399,775
110,1603922285545,-512,-403,769
111,1603922285595,-498,-405,777
112,1603922285645,-505,-413,782
113,1603922285695,-537,-369,783
114,1603922285745,-516,-393,775
115,1603922285795,-471,-426,775
116,1603922285845,-476,-416,770
117,1603922285895,-471,-407,783
118,1603922285945,-470,-401,785
119,1603922285995,-502,-409,817
120,1603922286045,-503,-414,813
121,1603922286095,-448,-471,824
122,1603922286145,-245,-642,912
123,1603922286195,-415,-150,1098
124,1603922286245,-422,-850,1159
125,1603922286295,-854,-2048,1115
126,1603922286345,-393,-2048,1220
127,1603922286395,613,-700,839
128,1603922286445,1333,-1190,1114
129,1603922286495,1656,-1654,1400
130,1603922286545,692,-261,1830
131,1603922286595,826,-641,1821
132,1603922286645,-88,-222,1853
133,1603922286695,-338,-70,1606
134,1603922286745,-613,-9,1284
135,1603922286795,-686,-256,993
136,1603922286845,-676,-388,681
137,1603922286895,-790,-446,405
138,1603922286945,-850,-454,79
139,1603922286995,-1069,-554,-66
140,1603922287045,-1313,-283,-302
141,1603922287095,-1894,-278,-429
142,1603922287145,-2048,-465,-617
143,1603922287195,-2048,-55,-715
144,1603922287245,-1657,-475,-730
