,Time,Acc_x,Acc_y,Acc_z
450,1603922298072,667,-2041,2047
451,1603922298122,465,-787,1625
452,1603922298172,-304,-714,1064
453,1603922298222,-875,-761,964
454,1603922298272,-1793,-876,955
455,1603922298322,-1881,-1053,782
456,1603922298372,-1371,-1206,687
457,1603922298422,-1553,-409,761
458,1603922298472,-1693,-507,675
459,1603922298522,-2048,-971,696
460,1603922298572,-2048,-845,232
461,1603922298622,-2048,990,-1148
462,1603922298672,-2048,-633,-2048
463,1603922298722,-2048,-545,-2048
464,1603922298772,-2048,110,-2048
465,1603922298822,-2048,-1310,-830
466,1603922298872,-1339,258,138
467,1603922298922,-2048,-2048,2047
468,1603922298972,-2048,806,2047
469,1603922299022,-2048,-2048,-2048
470,1603922299072,-2048,-1016,607
471,1603922299122,-371,446,636
472,1603922299172,-974,1314,770
473,1603922299222,-254,-1982,1161
474,1603922299272,-115,7,1804
475,1603922299322,214,251,1834
476,1603922299372,-327,-938,1696
477,1603922299422,-2048,-1938,1982
478,1603922299472,-2048,-2048,2047
479,1603922299522,-1548,-1457,1884
480,1603922299572,-2048,-241,2047
481,1603922299622,-245,-1386,2047
482,1603922299672,-16,-1441,2047
483,1603922299722,107,-1348,2047
484,1603922299772,275,-1483,2047
485,1603922299822,0,-1858,2047
486,1603922299872,302,-1252,1889
487,1603922299922,-343,-549,1164
488,1603922299972,-809,-1099,803
489,1603922300022,-1249,-1275,717
490,1603922300072,-1693,-1288,658
491,1603922300122,-1216,-1400,627
492,1603922300172,-1502,-41,952
493,1603922300222,-1932,46,1019
494,1603922300272,-2048,-1690,1052
495,1603922300322,-2048,-364,675
496,1603922300372,-2048,1011,-998
497,1603922300422,-2048,-155,-2048
498,1603922300472,-2048,-1128,-2048
499,1603922300522,-2048,297,-2048
500,1603922300572,-2048,-1128,-1807
501,1603922300622,2047,1185,-1285
502,1603922300672,-2048,-2048,2047
503,1603922300722,-457,1425,2047
504,1603922300772,-2048,-1391,2047
505,1603922300822,-480,1670,1764
506,1603922300872,-154,-66,1116
507,1603922300922,-381,168,1288
508,1603922300972,-394,301,1293
509,1603922301022,-5,-247,1923
510,1603922301072,-252,480,1828
511,1603922301122,-108,-653,1462
512,1603922301172,-1410,-1113,1686
513,1603922301222,-2048,-2048,2047
514,1603922301272,-2048,-2048,1149
515,1603922301322,-2048,-2048,2047
516,1603922301372,-1302,-1686,2047
517,1603922301422,-270,-1332,2047
518,1603922301472,-725,-640,2047
519,1603922301522,60,-1269,2047
520,1603922301572,2,-2026,2047
521,1603922301622,11,-1831,2047
522,1603922301672,151,-1139,1418
523,1603922301722,-279,-531,770
524,1603922301772,-994,-1210,660
525,1603922301822,-1295,-1271,674
526,1603922301872,-1417,-1159,652
527,1603922301922,-947,-905,949
528,1603922301972,-1969,-216,1436
529,1603922302022,-2048,-907,1369
530,1603922302072,-2048,-1424,694
531,1603922302122,-2048,164,-424
532,1603922302172,-2048,116,-2048
533,1603922302222,-2048,-1180,-2048
